"","SubjectNo","Education"
"867",1,"SomeHigh"
"868",1,"SomeHigh"
"869",1,"SomeHigh"
"870",1,"SomeHigh"
"871",1,"SomeHigh"
"872",1,"SomeHigh"
"873",1,"SomeHigh"
"874",1,"SomeHigh"
"875",1,"SomeHigh"
"876",1,"SomeHigh"
"877",1,"SomeHigh"
"878",1,"SomeHigh"
"879",1,"SomeHigh"
"880",1,"SomeHigh"
"881",1,"SomeHigh"
"882",1,"SomeHigh"
"883",1,"SomeHigh"
"884",1,"SomeHigh"
"885",1,"SomeHigh"
"886",1,"SomeHigh"
"887",1,"SomeHigh"
"888",1,"SomeHigh"
"889",1,"SomeHigh"
"890",1,"SomeHigh"
"891",1,"SomeHigh"
"892",1,"SomeHigh"
"893",1,"SomeHigh"
"894",1,"SomeHigh"
"895",1,"SomeHigh"
"896",1,"SomeHigh"
"897",1,"SomeHigh"
"898",1,"SomeHigh"
"899",1,"SomeHigh"
"900",1,"SomeHigh"
"901",1,"SomeHigh"
"902",1,"SomeHigh"
"903",1,"SomeHigh"
"904",1,"SomeHigh"
"905",1,"SomeHigh"
"906",1,"SomeHigh"
"907",1,"SomeHigh"
"908",1,"SomeHigh"
"909",1,"SomeHigh"
"910",1,"SomeHigh"
"911",1,"SomeHigh"
"912",1,"SomeHigh"
"913",1,"SomeHigh"
"914",1,"SomeHigh"
"915",1,"SomeHigh"
"916",1,"SomeHigh"
"917",1,"SomeHigh"
"918",1,"SomeHigh"
"919",1,"SomeHigh"
"920",1,"SomeHigh"
"921",1,"SomeHigh"
"922",1,"SomeHigh"
"923",1,"SomeHigh"
"924",1,"SomeHigh"
"925",1,"SomeHigh"
"926",1,"SomeHigh"
"927",1,"SomeHigh"
"928",1,"SomeHigh"
"929",1,"SomeHigh"
"930",1,"SomeHigh"
"931",1,"SomeHigh"
"932",1,"SomeHigh"
"933",1,"SomeHigh"
"934",1,"SomeHigh"
"935",1,"SomeHigh"
"936",1,"SomeHigh"
"937",1,"SomeHigh"
"938",1,"SomeHigh"
"939",1,"SomeHigh"
"940",1,"SomeHigh"
"941",1,"SomeHigh"
"942",1,"SomeHigh"
"943",1,"SomeHigh"
"944",1,"SomeHigh"
"945",1,"SomeHigh"
"946",1,"SomeHigh"
"947",1,"SomeHigh"
"948",1,"SomeHigh"
"949",1,"SomeHigh"
"950",1,"SomeHigh"
"951",1,"SomeHigh"
"952",1,"SomeHigh"
"953",1,"SomeHigh"
"954",1,"SomeHigh"
"955",1,"SomeHigh"
"956",1,"SomeHigh"
"957",1,"SomeHigh"
"958",1,"SomeHigh"
"959",1,"SomeHigh"
"960",1,"SomeHigh"
"961",1,"SomeHigh"
"962",1,"SomeHigh"
"963",1,"SomeHigh"
"964",1,"SomeHigh"
"965",1,"SomeHigh"
"966",1,"SomeHigh"
"967",1,"SomeHigh"
"968",1,"SomeHigh"
"969",1,"SomeHigh"
"970",1,"SomeHigh"
"971",1,"SomeHigh"
"972",1,"SomeHigh"
"973",1,"SomeHigh"
"974",1,"SomeHigh"
"975",1,"SomeHigh"
"976",1,"SomeHigh"
"977",1,"SomeHigh"
"978",1,"SomeHigh"
"979",1,"SomeHigh"
"980",1,"SomeHigh"
"981",1,"SomeHigh"
"982",1,"SomeHigh"
"983",1,"SomeHigh"
"984",1,"SomeHigh"
"985",1,"SomeHigh"
